date,rainfall,ndvi
2016-03-01,160.0,0.475
2016-04-01,151.96,0.53
2016-05-01,130.0,0.55
2016-06-01,100.0,0.53
2016-07-01,70.0,0.475
2016-08-01,48.04,0.4
2016-09-01,40.0,0.325
2016-10-01,48.04,0.27
2016-11-01,70.0,0.25
2016-12-01,100.0,0.27
2017-01-01,130.0,0.325
2017-02-01,151.96,0.4
2017-03-01,160.0,0.475
2017-04-01,151.96,0.53
2017-05-01,130.0,0.55
2017-06-01,100.0,0.53
2017-07-01,70.0,0.475
2017-08-01,48.04,0.4
2017-09-01,40.0,0.325
2017-10-01,48.04,0.27
2017-11-01,70.0,0.25
2017-12-01,100.0,0.27
2018-01-01,130.0,0.325
2018-02-01,151.96,0.4
2018-03-01,160.0,0.475
2018-04-01,151.96,0.53
2018-05-01,130.0,0.55
2018-06-01,100.0,0.53
2018-07-01,70.0,0.475
2018-08-01,48.04,0.4
2018-09-01,40.0,0.325
2018-10-01,48.04,0.27
2018-11-01,70.0,0.25
2018-12-01,100.0,0.27
2019-01-01,130.0,0.325
2019-02-01,151.96,0.4
2019-03-01,160.0,0.475
2019-04-01,151.96,0.53
2019-05-01,130.0,0.55
2019-06-01,100.0,0.53
2019-07-01,70.0,0.475
2019-08-01,48.04,0.4
2019-09-01,40.0,0.325
2019-10-01,48.04,0.27
2019-11-01,70.0,0.25
2019-12-01,100.0,0.27
2020-01-01,130.0,0.325
2020-02-01,151.96,0.4
2020-03-01,160.0,0.475
2020-04-01,151.96,0.53
2020-05-01,130.0,0.55
2020-06-01,100.0,0.53
2020-07-01,70.0,0.475
2020-08-01,48.04,0.4
2020-09-01,40.0,0.325
2020-10-01,48.04,0.27
2020-11-01,70.0,0.25
2020-12-01,100.0,0.27
2021-01-01,130.0,0.325
2021-02-01,151.96,0.4
2021-03-01,160.0,0.475
2021-04-01,151.96,0.53
2021-05-01,130.0,0.55
2021-06-01,100.0,0.53
2021-07-01,70.0,0.475
2021-08-01,48.04,0.4
2021-09-01,40.0,0.325
2021-10-01,48.04,0.27
2021-11-01,70.0,0.25
2021-12-01,100.0,0.27
2022-01-01,130.0,0.325
2022-02-01,151.96,0.4
2022-03-01,160.0,0.475
2022-04-01,151.96,0.53
2022-05-01,130.0,0.55
2022-06-01,100.0,0.53
2022-07-01,70.0,0.475
2022-08-01,48.04,0.4
2022-09-01,40.0,0.325
2022-10-01,48.04,0.27
2022-11-01,70.0,0.25
2022-12-01,100.0,0.27
2023-01-01,130.0,0.325
2023-02-01,151.96,0.4
2023-03-01,160.0,0.475
2023-04-01,151.96,0.53
2023-05-01,130.0,0.55
2023-06-01,100.0,0.53
2023-07-01,70.0,0.475
2023-08-01,48.04,0.4
2023-09-01,40.0,0.325
2023-10-01,48.04,0.27
2023-11-01,70.0,0.25
2023-12-01,100.0,0.27
2024-01-01,130.0,0.325
2024-02-01,151.96,0.4
2024-03-01,160.0,0.475
2024-04-01,151.96,0.53
2024-05-01,130.0,0.55
2024-06-01,100.0,0.53
2024-07-01,70.0,0.475
2024-08-01,48.04,0.4
2024-09-01,40.0,0.325
2024-10-01,48.04,0.27
2024-11-01,70.0,0.25
2024-12-01,100.0,0.27
2025-01-01,130.0,0.325
2025-02-01,151.96,0.4
2025-03-01,160.0,0.475
2025-04-01,151.96,0.53
2025-05-01,130.0,0.55
2025-06-01,100.0,0.53
2025-07-01,70.0,0.475
2025-08-01,48.04,0.4
2025-09-01,40.0,0.325
2025-10-01,48.04,0.27
2025-11-01,70.0,0.25
2025-12-01,100.0,0.27
